title,code,url,credits,mandatory,level,semester,faculty,freechoice,description,required_by,prerequisites_list,corequisites_list
First Year Team Project,COMP10120,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP10120,20,Mandatory,1,Full year,Department of Computer Science,False,"In this course, you will explore both the technical and professional foundations of computer science, learning how to build web applications while developing skills that are essential for working in teams and solving real-world problems. Core technical topics •    How the web works, including the structure of websites and how browsers communicate with servers •    Creating web pages using HTML for structure and CSS for layout and visual design •    Writing interactive web content using JavaScript •    Storing and retrieving data using databases •    Building server-side applications using Serverside Technologies •    Working with APIs to access and use data from external services •    Basic principles of web security and how to protect applications and data •    Version control and deployment, including how to manage and share code safely Project and practical skills •    Planning, designing, and building a data-driven web application as part of a team •    Using tools and workflows commonly used in software development •    Testing, improving, and presenting your work Teamwork and professional skills •    Working effectively in a team, including organising tasks, managing time, and resolving issues •    Communicating ideas clearly through presentations, posters, and written reports •    Understanding intellectual property, ethics, and professional responsibilities in computing •    Considering equality, diversity, and inclusion in team and project work Learning and reflection •    Developing independent learning skills and confidence in learning new technologies •    Reflecting on your progress, strengths, and areas for improvement •    Writing short reflective and technical reports to explain what you have learned By the end of the course, you will have practical experience of building a real web application, along with the teamwork, communication, and problem-solving skills needed for the rest of your degree and a future career in computing.",,,
Mathematical Techniques for Computer Science,COMP11120,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP11120,20,Mandatory,1,Full year,Department of Computer Science,False,"This course covers the fundamental mathematics required by Computer Science students in order to successfully complete the reminder of their courses as well as for a career in computer science. Specifically the unit aims to   •    introduce mathematical notions relevant to computer science and their applications;   •    illustrate how abstraction allows the formulation and proof of properties for real-world and computational phenomena, and enable students to apply this technique;   •    give an understanding and some practice in the fundamental notion of proof.   Underlying everything we do on this unit is the idea that we need to provide formal definitions of concepts, which then enable us to rigorously establish properties of these. At the start we introduce this new way of engaging with mathematics by studying notions already familiar to students, such as functions or operations such as addition of numbers in this style. Further topics covered include logic, probability, recursion and induction, relations, vectors, matrices and transformations.","COMP11212,COMP21111,COMP24011,COMP24112,COMP31311,COMP34111,COMP34612,COMP36111,COMP36212,COMP37212",,
Fundamentals of Computation,COMP11212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP11212,10,Mandatory,1,Semester 2,Department of Computer Science,True,"The building of real-life computing systems, e.g. mobile phone, TV/video remote control, internet shopping, air-traffic control, internet banking, etc., is always a complex task. Mistakes can be not just annoying, but also costly and sometimes life threatening. Formal methods and techniques to support the building and understanding of such systems are essential. This course unit provides the basic computer science ideas underlying such methods. It introduces mathematical models that allow the description, verification, and analysis of computing systems and their limitations.",COMP36111,MATH11121,COMP11120
Fundamentals of Computer Engineering,COMP12111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP12111,10,Mandatory,1,Semester 1,Department of Computer Science,True,"In this course you will learn about the design of electronic systems from simple digital circuits to the design of a simple processor. The major emphasis is on practical design work, the taught material is supported by practical laboratory exercises where you get to put the concepts you have learnt into practice. The syllabus is as follows: 1.    Introduction to logic  Digital signals, data representation, Boolean logic and functions, De Morgan’s theorem, logic gates, multiplexers, binary arithmetic, abstraction & hierarchy, clocks, sequential systems. 2.    Computer Aided Design (CAD)  Complexity and design – the need for CAD tools, testing & simulation. 3.    Hardware description languages  SystemVerilog - Introduction to SystemVerilog, assignments, module structure, design of combinatorial and sequential circuits in SystemVerilog. 4.    Register Transfer Level (RTL) Design  The synchronous paradigm, introduction to sequential systems, RTL view of design, the register, datapath and control, 5.    Finite State Machines (FSM)  Introduction to the FSM, state transition diagrams, state transition tables, implementation in SystemVerilog. 6.    Processor Design  Overview of the three-box model: CPU, Memory, I/O, processor operation, instruction execution – fetch/decode/execute – and the sequencing of actions, program counter, instruction register, condition code register. Introduction to MU0 - instruction set and operation, arithmetic logic unit (ALU) design and critical path, design of the MU0 datapath and control in SystemVerilog. 7.    Memory  Von Neumann and Harvard architecture, tri-state buffers, memory map, address decoding schemes – one dimensional and two-dimensional, memory architectures, address decoders. Memory hierarchy and relationship between speed, cost and capacity, cache, SRAM, DRAM, ROM, Flash, HDD and optical storage. Memory in SystemVerilog. 8.    Input and output  The I/O interface, communication and I/O devices, parallel and serial communications, polling and interrupts, implementing and servicing interrupts, direct memory access, universal serial bus (USB),",COMP22111,,
Data Science,COMP13212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP13212,10,Mandatory,1,Semester 2,,True,"This course unit has two objectives. The first is to introduce the student to a range of fundamental, non-trivial algotithms, and to the techniques required to analyse their correctness and running-time. The second is to present a conceptual framework for analysing the intrinsic complexity of computational problems, which abstracts away from details of particular algorithms.","COMP24011,COMP34111,COMP34612",,
Fundamentals of Computer Architecture,COMP15111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP15111,10,Mandatory,1,Semester 1,Department of Computer Science,True,"The module introduces fundamental concepts involved in Computer Architecture, which is the study and design of Computer Systems. Among others, the module discusses: •    how to talk about computer systems, •    how to think about computer systems, •    how are computers structured, •    what is the language that computers natively speak, •    how programs are executed by the hardware, •    how to make programs faster and smaller,   •    how data (whether numbers, text, colours, or polygons) are represented in hardware using only binary digits,   •    how high-level program structures (like loops, functions, and objects) are translated into operations the computer understands,   •    how to build complex systems out of the simple operations provided by the computer, and •    what is the system software that allows us to run high-level programs   Understanding the Fundamentals of Computer Architecture is essential for being able to reason about what exactly happens when we run a program. This is critical not only for students who are interested in hardware and low-level software, but also to any software developer who wants to be able to produce high performing programs and/or work across multiple software stack layers. In particular, business, finance, scientific programming, and AI frameworks rely on programmers that understand how programs actually work.","COMP22712,COMP25212",,
Operating Systems,COMP15212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP15212,10,Mandatory,1,Semester 2,Department of Computer Science,True,An operating system is typically the 'lowest' layer of software in a computer. It provides an abstracted interface so that applications can run on diverse hardware without modification and it provides security which prevents misbehaving software from crashing the hardware or disturbing other tasks which may be running simultaneously. This course unit provides an introduction to the major principles of implementation of an operating system and some experience in how these features may be exploited by the 'higher' software layers.,COMP28112,,
Introduction to Programming 1,COMP16321,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP16321,20,Mandatory,1,Semester 1,Department of Computer Science,False,"Programming is a core skill in the digital era, underpinning innovation in virtually every domain of computing, from web and mobile apps to scientific research and intelligent systems. This unit introduces students to the foundational concepts of programming through Python, a widely-used and versatile programming language known for its readability and broad ecosystem. The course begins by exploring the building blocks of programming: variables, data types, and control structures such as selection and iteration. From these fundamentals, students’ progress into practical techniques like file handling and modular programming using functions. They will learn to structure their programs using functions, leverage external libraries and packages, and apply best practices for writing clean, maintainable, and secure code. As students gain confidence, they will investigate more applied topics such as graphical interfaces and animation, enabling the development of interactive applications. Object-oriented programming principles will be introduced to illustrate how complex software systems are structured and maintained. The course also places a strong emphasis on real-world applicability, teaching secure coding practices and exploring how to visualize data effectively, skills increasingly vital across industries. Throughout the unit, students will not only learn how to write Python programs, but also how to think computationally, analysing problems, designing algorithmic solutions, and evaluating code quality in terms of performance, maintainability, and correctness. They will build confidence in estimating development effort, selecting appropriate libraries and tools, and reflecting on the purpose and structure of existing code. By combining theory, hands-on programming, and creative problem-solving, this unit equips students with the essential skills to begin their journey as confident, capable software developers.","COMP16412,COMP23311,COMP26020,COMP26120",,COMP16412
Introduction to Programming 2,COMP16412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP16412,10,Mandatory,1,Semester 2,Department of Computer Science,True,"This unit teaches students how to design and build software using object-oriented programming principles in Java. The course begins with programming fundamentals-how to structure code, make decisions, and repeat operations-before introducing the core concept of organising programmes around ""objects"" with their own data and behaviours. Students learn how to create blueprints for these objects, how to build relationships between different types of objects, and how to design code that can be easily modified and extended over time. As the course progresses, students work with Java's built-in tools for organising and managing collections of data, such as lists, queues, and maps, and learn to choose the right tool for different programming challenges. The latter portions cover modern Java features that make code more concise and expressive, as well as techniques for processing data efficiently using contemporary programming styles. Beyond technical programming skills, this unit emphasises responsible and sustainable software development practices that are increasingly critical in the technology industry. Students examine real-world concerns, including software security and accessibility, reading current research on topics such as whether Al coding assistants lead developers to write less secure code, and how to design software that works well for users with diverse needs and abilities. The course addresses sustainability by teaching students to write efficient code that uses computational resources wisely,to design software architectures using diagrams that remain maintainable overrather than requiring costly rewrites. Students also learn to build graphical applications with interactive user interfaces and to handle multiple simultaneous operations within their programmes. Throughout the unit, students develop professional skills such as reading technical documentation, understanding visual software diagrams, writing clear code documentation, testing their code to prevent errors, and working on large projects-preparing them for collaborative software development in both academic and professional contexts.","COMP16321,COMP23311,COMP26020,COMP26120,COMP28112",,COMP16321
Software Engineering 1,COMP23311,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP23311,10,Mandatory,2,Semester 1,Department of Computer Science,False,"While software engineering tends to involve a lot of programming, it is not synonymous with programming. Software Engineering is more concerned with the processes that are involved in the definition, creation, improvement, deployment, and maintenance of software artifacts. The course is a mixture of theoretical and practical work. The course allows students the opportunity to not only acquire the technical skills beneficial to a career in Software Engineering, but to also develop a critical understanding of how various social and technical phenomena may affect the profession going into the future.","COMP23412,COMP33312,COMP33511","COMP16321,COMP16412",
