code,title,credits,level,semester,faculty,freechoice,description,prerequisites_list,corequisites_list,required_by,url
AERO10421,Fluid Mechanics for Aerospace and Mechanical Engineers,10,1,Semester 1,Aerospace Engineering,False,"This unit introduces Fluid Mechanics and fluid motion to 1st year students. Fluid Mechanics is one of the core and key sciences in most Engineering disciplines, including Mechanical and Aerospace Engineering. Advances in aerodynamic performance, the performance of power producing systems such as gas-turbines, steam turbines and internal combustion engines, the performance of cooling, heating and many other engineering systems rely on a sound understanding and analysis of the flow processes present. This unit provides an introduction to the Fluid Mechanics, focusing on the topics that are relevant to Mechanical and Aerospace Engineering applications. Intended learning outcomes are, understanding of the basics of flow behaviour in engineering systems, awareness of the physical laws that govern fluid motion and development of analytical skills for simple flow systems.",,,MECH31422,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO10421
AERO12101,Introduction to Computer Aided Engineering,10,1,Semester 1,Aerospace Engineering,False,"There are a variety of parametric computer aided design (CAD) packages available which are widely used in the aerospace and mechanical engineering industries. It is commonly used for the design of components. It usually starts with a 2D sketch to define an object’s geometry, using, for example, points, lines, arcs and splines. Dimensions are added to the sketch to define the geometry’s size and the location of the geometry’s features, while relations are used to define attributes such as tangency, parallelism, perpendicularity and concentricity amongst others. The ability to communicate geometric aspects of an engineering component for both i) product engineering and ii) for further analysis/interpretation in digital environments are fundamental.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO12101
CIVL10031,Structural Analysis,10,1,Semester 1,Civil Engineering,False,"This unit provides an introduction to the structural analysis, focusing on the topics that are relevant to Mechanical, Civil and Aerospace Engineering applications. Intended learning outcomes are, understanding of the basics of statics and structural analysis, awareness of the mechanical principles that govern forces and displacements in structures and development of analytical skills for simple structural element analysis.",,,"MECH21021,MECH32002",https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=CIVL10031
EEEN10492,Electrical Engineering Fundamentals,10,1,Semester 2,Electrical & Electronic Engineering,False,"1. Introduction to the course module and fundamental concepts for circuit analysis, including charge, voltage, current, power, ideal basic circuit elements, passive sign convention, and analogue and digital signals
2. Passive and active circuit elements (including five basic elements, which are resistor, capacitor, inductor, voltage source, and current source); Ohm’s Law, Kirchhoff's Current Law and Kirchhoff’s Voltage Law
3. Simple resistance circuits, including resistors in series, resistors in parallel, voltage divider, current divider, Star-Delta conversion
4. Inductance and capacitance circuits, including inductors-in-series, inductors-in-parallel, capacitors-in-series, capacitors-in-parallel, transient behaviour of simple RL and RC circuits, time constant and settling time
5. Circuit analysis methods, including node voltage method, mesh current method, superposition principle, source conversion (i.e. V to i, i to V), Thevenin and Norton equivalent circuits, max power transfer
6. Ideal op-amp circuit analysis. Fundamental concepts include three parameters of op-amp, two features of ideal op-amp circuit, and how to calculate closed-loop gain, input and output impedance. Ideal op-amp circuits to be discussed include inverting amplifier, non-inverting amplifier, differential amplifier, instrumentation amplifier and Howland circuit
7. Sensors, including fundamental concepts (such as sensitivity, accuracy, signal-to-noise ratio), categorisation of sensors, stain gauge, Wheatstone bridge, brief introduction to other types
of sensors (such as resistive sensor, infra-red sensor, incremental optical encoder, ultrasonic sensor, gyroscope and accelerometer)
8. Signal conditioning and signal capturing, including multiplexer, rectifier, phase-sensitive demodulator, simple low-pass filter and digitisation
9. Basic principles of operation of AC motors/ generators and DC motors/ generators, types of motors; Basic description of operation and examples of use (Mech / Aero relevant), and sizing and selection of motors, including torque and loading calculations
10. Health & safety related to motors and generators",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=EEEN10492
MATH19661,Mathematics 1,10,1,Semester 1,Mathematics,False,The course unit aims to provide a basic course in calculus and algebra to students with A-level mathematics or equivalent.,,,MECH20041,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH19661
MATH19662,Mathematics 1M2,10,1,Semester 2,,False,To provide a second-semester course in calculus and algebra to students with A-level mathematics or equivalent.,,,"MATH29661,MECH20041",https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH19662
MECH10030,Workshop Practice (Mechanical),0,1,Year 1 & 2,Engineering and Surveying,False,"The workshop practice covers health and safety training, turning, milling, welding and a fabrication and fitting exercise. The students have to complete 4 exercises and 8 hours of workshop practice over the 2 years. Aims to introduce students to hands-on workshop practice on the use of machine tools, welding equipment and joining methods as well as the use of metrology equipment in the assessment of manufactured products.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH10030
MECH10331,Design 1 (Mechanical),10,1,Semester 1,Engineering,False,"The core activity of the Design 1 unit is the Design, Make and Test (DMT) project, in which the students, working in groups of 4, have to design a wooden car that has to travel up an inclined track of 5 metres length. The students are given a list of components, from which they can select (""buy"") items they use for their car (e.g. axles, gear box and gear wheels, brackets, bearings, screws, etc), a 3-plywood sheet, from which they have to make the car's chassis, and a selection of 3-plywood wheels of various sizes.",,,MECH20071,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH10331
MECH11012,Manufacturing Engineering 1,10,1,Semester 2,Mechanical Engineering,False,"Manufacturing engineering companies are vital for our modern economy due to their capability to generate high economic value products and jobs. The role of a manufacturing engineer is crucial and requires advanced skills in order to analyse and improve complex integrated manufacturing systems. The module focuses on providing a holistic understanding of the main manufacturing processes by which materials (metals and plastics) can be processed into different products in the most effective, sustainable and efficient way. The module also provides students with a deep knowledge on the techniques required for process/technology selection based on product’s specifications.",,,"MECH20051,MECH22202,MECH30121",https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH11012
MECH11311,Mechanical Engineering Systems,10,1,Semester 1,Engineering,False,"An engineering system is a set of components that function together to perform a required duty. This unit takes two practical systems (automotive propulsion system, automotive propulsion system) and introduces the student to the workings of their individual components and how they contribute to the overall functioning and performance of the system. A sound knowledge of how such systems work and perform is the starting point for the design of efficient/effective vehicles.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH11311
